item,campo_origem,campo_sql,tipo_dado,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,calculo_bq_final,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,tem_prompt_open_literal,tem_prompt_closed_literal,resumo_regras_ouro_open,resumo_json_open,resumo_json_closed,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
63,Tipo,clasificacion_tipo_producto,STRING,S,Fact Oportunidad > Categoría Portafolio,PRONTO,MEDIA,"CASE WHEN UPPER(CAST(src.`familia_productos` AS STRING)) IN ('GWS LICENSING','GCP CONSUMPTION') THEN 'Plataforma' WHEN UPPER(CAST(src.`familia_productos` AS STRING)) IN ('GCP SERVICES','GWS SERVICES','MSP SERVICES','INCENTIVES','SMART PRODUCTS') THEN 'Servicios' ELSE 'Soluciones' END","CASE WHEN UPPER(CAST(src.`familia_productos` AS STRING)) IN ('GWS LICENSING','GCP CONSUMPTION') THEN 'Plataforma' WHEN UPPER(CAST(src.`familia_productos` AS STRING)) IN ('GCP SERVICES','GWS SERVICES','MSP SERVICES','INCENTIVES','SMART PRODUCTS') THEN 'Servicios' ELSE 'Soluciones' END AS `clasificacion_tipo_producto`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
64,General Budget,presupuesto_general,STRING,N,No existe,PENDENTE,ALTA,Condicionales lógicos multinivel (CASE WHEN) descritos en el cuerpo del informe,Condicionales lógicos multinivel (CASE WHEN) descritos en el cuerpo del informe AS `presupuesto_general`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
65,"Portafolio 1.0, 2.0, 3.0",id_jerarquia_portafolio,INT64,S,Fact Oportunidad > Portafolio,PRONTO,BAIXA,SAFE_CAST(src.`id_jerarquia_portafolio` AS INT64),SAFE_CAST(src.`id_jerarquia_portafolio` AS INT64) AS `id_jerarquia_portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
66,Deal Size,tamano_comercial_deal,STRING,S,Fact Oportunidad > Tamaño,NAO_IMPLEMENTAR,BAIXA,CASE WHEN precio_total_convertido < 10000 THEN 'S' WHEN precio_total_convertido < 50000 THEN 'M'... END,CASE WHEN precio_total_convertido < 10000 THEN 'S' WHEN precio_total_convertido < 50000 THEN 'M'... END AS `tamano_comercial_deal`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
67,Region,macro_region_operativa,STRING,S,Fact oportunidad > Region cuenta,PRONTO,MEDIA,"CASE WHEN UPPER(CAST(src.`pais_cuenta` AS STRING)) = 'BRASIL' THEN 'BRASIL' WHEN UPPER(CAST(src.`pais_cuenta` AS STRING)) = 'MEXICO' THEN 'MEXICO' WHEN UPPER(CAST(src.`pais_cuenta` AS STRING)) IN ('PERU','COLOMBIA','ECUADOR','BOLIVIA') THEN 'ANDES' ELSE 'LATAM' END","CASE WHEN UPPER(CAST(src.`pais_cuenta` AS STRING)) = 'BRASIL' THEN 'BRASIL' WHEN UPPER(CAST(src.`pais_cuenta` AS STRING)) = 'MEXICO' THEN 'MEXICO' WHEN UPPER(CAST(src.`pais_cuenta` AS STRING)) IN ('PERU','COLOMBIA','ECUADOR','BOLIVIA') THEN 'ANDES' ELSE 'LATAM' END AS `macro_region_operativa`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
68,Etapa Organizada,etapa_alfanumerica,STRING,N,No existe,PENDENTE,BAIXA,"Construcción léxica controlada, v.gr., CASE WHEN etapa = 'Calificar' THEN 'a) Calificar' END","Construcción léxica controlada, v.gr., CASE WHEN etapa = 'Calificar' THEN 'a) Calificar' END AS `etapa_alfanumerica`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
69,Preventa,recurso_preventa_principal,STRING,S,Fact presales > Nombre Usuario Preventa,NAO_IMPLEMENTAR,MEDIA,CAST(src.`recurso_preventa_principal` AS STRING),CAST(src.`recurso_preventa_principal` AS STRING) AS `recurso_preventa_principal`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
70,Preventa Consolidado,recursos_preventa_agrupados,STRING,N,No existe,PENDENTE,MEDIA,CAST(src.`recurso_preventa_principal` AS STRING),CAST(src.`recurso_preventa_principal` AS STRING) AS `recursos_preventa_agrupados`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
71,Pipeline ACV,acv_pipeline,NUMERIC,S,Fact oportunidad > acv total oportunidad,PRONTO,MEDIA,Ponderación fraccional: CASE WHEN plazo_producto_meses > 12 THEN (precio_total_convertido / plazo_producto_meses) * 12 ELSE precio_total_convertido END,Ponderación fraccional: CASE WHEN plazo_producto_meses > 12 THEN (precio_total_convertido / plazo_producto_meses) * 12 ELSE precio_total_convertido END AS `acv_pipeline`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
72,Net Revenue ACV,acv_ingreso_neto,NUMERIC,S,Fact oportunidad > MARGEN_TOTAL_PESOS_PRODUCTO_OPORTUNIDAD,PRONTO,BAIXA,Cálculo diferencial: CASE WHEN clasificacion_tipo_producto = 'Plataforma' THEN acv_pipeline * (margen_total_porcentaje / 100.0) ELSE acv_pipeline END,Cálculo diferencial: CASE WHEN clasificacion_tipo_producto = 'Plataforma' THEN acv_pipeline * (margen_total_porcentaje / 100.0) ELSE acv_pipeline END AS `acv_ingreso_neto`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
73,Segmento Publico/Privado,sector_entidad,STRING,N,No existe,PENDENTE,BAIXA,"CASE WHEN UPPER(CAST(src.`segmento_consolidado` AS STRING)) IN ('EDUCATIVO','EDUCACION','GOBIERNO','GOVERNO') THEN 'Publico' ELSE 'Privado' END","CASE WHEN UPPER(CAST(src.`segmento_consolidado` AS STRING)) IN ('EDUCATIVO','EDUCACION','GOBIERNO','GOVERNO') THEN 'Publico' ELSE 'Privado' END AS `sector_entidad`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
74,Pais Subsidiaria,pais_entidad_subsidiaria,STRING,S,Fact oportunidad > pais_subsidiaria,PRONTO,ALTA,Uso de patrones condicionales a nivel texto: CASE WHEN entidad_subsidiaria LIKE '%Colombia%' THEN 'Colombia'... END,Uso de patrones condicionales a nivel texto: CASE WHEN entidad_subsidiaria LIKE '%Colombia%' THEN 'Colombia'... END AS `pais_entidad_subsidiaria`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
75,Portafolio XAI Opp F,agrupacion_f_portafolio,STRING,S,Fact oportunidad > portafolio,NAO_IMPLEMENTAR,MEDIA,Relación tabular CASE WHEN id_jerarquia_portafolio = 1 THEN 'PORTAFOLIO 1.0' END,Relación tabular CASE WHEN id_jerarquia_portafolio = 1 THEN 'PORTAFOLIO 1.0' END AS `agrupacion_f_portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
76,Oportunidades Vencidas,estado_vencimiento_oportunidad,STRING,N,No existe,NAO_IMPLEMENTAR,MEDIA,"Inferencia de estado: CASE WHEN fecha_cierre < CURRENT_DATE() AND etapa NOT IN ('Cierre', 'Perdida') THEN 'Vencida' ELSE 'Ok' END","Inferencia de estado: CASE WHEN fecha_cierre < CURRENT_DATE() AND etapa NOT IN ('Cierre', 'Perdida') THEN 'Vencida' ELSE 'Ok' END AS `estado_vencimiento_oportunidad`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
77,Mes Factura,mes_documento_facturacion,INT64,N,No existe,PENDENTE,MEDIA,Ejecución extrayente del mes EXTRACT(MONTH FROM fecha_facturacion),Ejecución extrayente del mes EXTRACT(MONTH FROM fecha_facturacion) AS `mes_documento_facturacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
78,Año Factura,ano_documento_facturacion,INT64,N,No existe,PENDENTE,MEDIA,Operador temporal derivante EXTRACT(YEAR FROM fecha_facturacion),Operador temporal derivante EXTRACT(YEAR FROM fecha_facturacion) AS `ano_documento_facturacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
79,Tipo Facturación,recurrencia_facturacion,STRING,N,No existe,PENDENTE,MEDIA,"Fragmentación mediante funciones constructivas como SPLIT(frecuencia_facturacion, ' ')","Fragmentación mediante funciones constructivas como SPLIT(frecuencia_facturacion, ' ') AS `recurrencia_facturacion`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
80,Error Vencimiento,flag_error_vencimiento,INT64,N,No existe,PENDENTE,MEDIA,"CASE WHEN SAFE_CAST(src.`fecha_cierre` AS DATE) < CURRENT_DATE() AND UPPER(CAST(src.`etapa` AS STRING)) NOT IN ('CIERRE','CLOSED','PERDIDA','DESCALIFICADA') THEN 1 ELSE 0 END","CASE WHEN SAFE_CAST(src.`fecha_cierre` AS DATE) < CURRENT_DATE() AND UPPER(CAST(src.`etapa` AS STRING)) NOT IN ('CIERRE','CLOSED','PERDIDA','DESCALIFICADA') THEN 1 ELSE 0 END AS `flag_error_vencimiento`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
81,Error Portafolio/ Producto,flag_error_portafolio,INT64,N,No existe,PENDENTE,MEDIA,CASE WHEN id_jerarquia_portafolio IS NULL THEN 1 ELSE 0 END,CASE WHEN id_jerarquia_portafolio IS NULL THEN 1 ELSE 0 END AS `flag_error_portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
82,Error Proceso,flag_error_proceso,INT64,N,No existe,PENDENTE,MEDIA,Declaraciones lógicas del estilo CASE WHEN tipo_oportunidad = 'Renovación' AND proceso = 'Nueva' THEN 1 ELSE 0 END,Declaraciones lógicas del estilo CASE WHEN tipo_oportunidad = 'Renovación' AND proceso = 'Nueva' THEN 1 ELSE 0 END AS `flag_error_proceso`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
83,Error Monto,flag_error_monto,INT64,N,No existe,PENDENTE,MEDIA,Instrucción que sanciona cuando se percibe una asimetría cuantitativa CASE WHEN importe_convertido!= precio_total_convertido THEN 1 ELSE 0 END,Instrucción que sanciona cuando se percibe una asimetría cuantitativa CASE WHEN importe_convertido!= precio_total_convertido THEN 1 ELSE 0 END AS `flag_error_monto`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
84,Error Calendario o Fecha de Facturación,flag_error_calendario,INT64,S,No existe,PARCIAL,MEDIA,CASE WHEN fecha_facturacion IS NULL AND categoria_forecast = 'Commit' THEN 1 ELSE 0 END,CASE WHEN fecha_facturacion IS NULL AND categoria_forecast = 'Commit' THEN 1 ELSE 0 END AS `flag_error_calendario`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
85,Error Segmento,flag_error_segmento,INT64,N,No existe,PENDENTE,MEDIA,"CASE WHEN NULLIF(TRIM(CAST(src.`segmento_consolidado` AS STRING)), '') IS NULL THEN 1 ELSE 0 END","CASE WHEN NULLIF(TRIM(CAST(src.`segmento_consolidado` AS STRING)), '') IS NULL THEN 1 ELSE 0 END AS `flag_error_segmento`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
86,Error Opps Multiaño,flag_error_multiano,INT64,N,No existe,PENDENTE,MEDIA,Relación discriminante algorítmica: CASE WHEN tipo_oportunidad = 'Multiaño' AND plazo_producto_meses <= 12 THEN 1 ELSE 0 END,Relación discriminante algorítmica: CASE WHEN tipo_oportunidad = 'Multiaño' AND plazo_producto_meses <= 12 THEN 1 ELSE 0 END AS `flag_error_multiano`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
87,Qty Errores,conteo_total_errores,INT64,N,No existe,PENDENTE,MEDIA,"COALESCE(SAFE_CAST(src.`flag_error_vencimiento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_portafolio` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_proceso` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_monto` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_calendario` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_segmento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_multiano` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_fecha_facturación_2.0` AS INT64),0)","COALESCE(SAFE_CAST(src.`flag_error_vencimiento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_portafolio` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_proceso` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_monto` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_calendario` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_segmento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_multiano` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_fecha_facturación_2.0` AS INT64),0) AS `conteo_total_errores`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
88,Error Resumen,resumen_narrativo_errores,STRING,N,No existe,PENDENTE,MEDIA,"Concatenación lógica condicionada de subcadenas descriptivas, por ejemplo CONCAT(IF(flag_error_vencimiento=1, 'Error Vencimiento, ', ''),... )","Concatenación lógica condicionada de subcadenas descriptivas, por ejemplo CONCAT(IF(flag_error_vencimiento=1, 'Error Vencimiento, ', ''),... ) AS `resumen_narrativo_errores`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
89,Riesgo Actividad,indice_riesgo_actividad,INT64,N,No existe,PENDENTE,MEDIA,"CASE WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 60 OR DATE_DIFF(SAFE_CAST(src.`fecha_cierre` AS DATE), CURRENT_DATE(), DAY) < 0 THEN 4 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 30 THEN 3 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 15 THEN 2 ELSE 1 END","CASE WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 60 OR DATE_DIFF(SAFE_CAST(src.`fecha_cierre` AS DATE), CURRENT_DATE(), DAY) < 0 THEN 4 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 30 THEN 3 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 15 THEN 2 ELSE 1 END AS `indice_riesgo_actividad`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
90,Status Riesgo,estado_clasificacion_riesgo,STRING,N,No existe,PENDENTE,MEDIA,"Ejecutor CASE sobre base discriminatoria de volúmenes de desviación, p.ej. CASE WHEN conteo_total_errores > 0 THEN 'Crítico' ELSE 'Saludable' END","Ejecutor CASE sobre base discriminatoria de volúmenes de desviación, p.ej. CASE WHEN conteo_total_errores > 0 THEN 'Crítico' ELSE 'Saludable' END AS `estado_clasificacion_riesgo`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
91,Open Time (Month),tiempo_apertura_meses,INT64,N,,PENDENTE,MEDIA,Transformador analítico estandarizante: CAST(ROUND(antiguedad_dias / 30.0) AS INT64),Transformador analítico estandarizante: CAST(ROUND(antiguedad_dias / 30.0) AS INT64) AS `tiempo_apertura_meses`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
92,Industry GTM,industria_go_to_market,STRING,N,No existe,PENDENTE,MEDIA,"Integración basada en directrices condicionales textuales para unificar industrias; CASE WHEN industria_primaria IN ('Bancos, financieras', 'Servicios Financieros') THEN 'Finanzas'... END","Integración basada en directrices condicionales textuales para unificar industrias; CASE WHEN industria_primaria IN ('Bancos, financieras', 'Servicios Financieros') THEN 'Finanzas'... END AS `industria_go_to_market`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
93,Sem Cierre,semana_fecha_cierre,DATE,S,No existe,PARCIAL,MEDIA,"Comando estándar de delimitación de fechas ISO: DATE_TRUNC(fecha_cierre, ISOWEEK)","Comando estándar de delimitación de fechas ISO: DATE_TRUNC(fecha_cierre, ISOWEEK) AS `semana_fecha_cierre`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
94,Incremental,,BOOLEAN,N,No existe,PENDENTE,MEDIA,"CASE WHEN <> ""GWS..."" THEN","CASE WHEN <> ""GWS..."" THEN AS `campo_item_94`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
95,Error Fecha de Facturaicón 2.0,flag_error_fecha_facturación_2.0,BOOLEAN,N,No existe,PENDENTE,MEDIA,"CASE WHEN fecha de facturacion < fecha de cierre
 WHEN Etapa <> {Calificar, Evaluación, Propuesta} 
THEN 1","CASE WHEN fecha de facturacion < fecha de cierre
 WHEN Etapa <> {Calificar, Evaluación, Propuesta} 
THEN 1 AS `flag_error_fecha_facturación_2.0`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
96,Run ID,run_id,STRING,S,run_id,PRONTO,MEDIA,CAST(src.`run_id` AS STRING),CAST(src.`run_id` AS STRING) AS `run_id`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
97,Oportunidade,oportunidade,STRING,S,oportunidade,PRONTO,MEDIA,CAST(src.`oportunidade` AS STRING),CAST(src.`oportunidade` AS STRING) AS `oportunidade`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
98,Conta,conta,STRING,S,conta,PRONTO,MEDIA,CAST(src.`conta` AS STRING),CAST(src.`conta` AS STRING) AS `conta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
99,Perfil,perfil,STRING,S,perfil,PRONTO,MEDIA,CAST(src.`perfil` AS STRING),CAST(src.`perfil` AS STRING) AS `perfil`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
100,Produtos,produtos,STRING,S,produtos,PRONTO,MEDIA,CAST(src.`produtos` AS STRING),CAST(src.`produtos` AS STRING) AS `produtos`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
101,Vendedor,vendedor,STRING,S,vendedor,PRONTO,MEDIA,CAST(src.`vendedor` AS STRING),CAST(src.`vendedor` AS STRING) AS `vendedor`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
102,Gross,gross,STRING,S,gross,PRONTO,MEDIA,CAST(src.`gross` AS STRING),CAST(src.`gross` AS STRING) AS `gross`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
103,Net,net,STRING,S,net,PRONTO,MEDIA,CAST(src.`net` AS STRING),CAST(src.`net` AS STRING) AS `net`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
104,Fase Atual,etapa_analise,STRING,S,etapa_analise,PRONTO,MEDIA,CAST(src.`etapa_analise` AS STRING),CAST(src.`etapa_analise` AS STRING) AS `etapa_analise`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,S,N,APP_HEADERS
105,Forecast SF,forecast_sf,STRING,S,forecast_sf,PRONTO,MEDIA,CAST(src.`forecast_sf` AS STRING),CAST(src.`forecast_sf` AS STRING) AS `forecast_sf`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
106,Fiscal Q,fiscal_q_analise,STRING,S,fiscal_q_analise,PRONTO,MEDIA,CAST(src.`fiscal_q_analise` AS STRING),CAST(src.`fiscal_q_analise` AS STRING) AS `fiscal_q_analise`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,S,N,APP_HEADERS
107,Data Prevista,data_prevista_analise,STRING,S,data_prevista_analise,PRONTO,MEDIA,CAST(src.`data_prevista_analise` AS STRING),CAST(src.`data_prevista_analise` AS STRING) AS `data_prevista_analise`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,S,N,APP_HEADERS
108,Data de criação,data_criacao_analise,STRING,S,data_criacao_analise,PRONTO,MEDIA,CAST(src.`data_criacao_analise` AS STRING),CAST(src.`data_criacao_analise` AS STRING) AS `data_criacao_analise`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,S,N,APP_HEADERS
109,Ciclo (dias),ciclo_dias,NUMERIC,S,ciclo_dias,PRONTO,MEDIA,SAFE_CAST(src.`ciclo_dias` AS NUMERIC),SAFE_CAST(src.`ciclo_dias` AS NUMERIC) AS `ciclo_dias`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
110,Dias Funil,dias_funil,NUMERIC,S,dias_funil,PRONTO,MEDIA,SAFE_CAST(src.`dias_funil` AS NUMERIC),SAFE_CAST(src.`dias_funil` AS NUMERIC) AS `dias_funil`,Variáveis de contexto de governança enviadas ao prompt OPEN/CLOSED.,"Critérios de governança operacional: estagnação, incoerências, idle, tempo de funil, mudanças de fase/data, Deal Desk, governo e velocity para suporte da auditoria e priorização tática.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.",N/A (campo de suporte para decisão e gates),"appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
111,Atividades,atividades,NUMERIC,S,atividades,PRONTO,MEDIA,SAFE_CAST(src.`atividades` AS NUMERIC),SAFE_CAST(src.`atividades` AS NUMERIC) AS `atividades`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
112,Atividades (Peso),atividades_peso,NUMERIC,S,atividades_peso,PRONTO,MEDIA,SAFE_CAST(src.`atividades_peso` AS NUMERIC),SAFE_CAST(src.`atividades_peso` AS NUMERIC) AS `atividades_peso`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
113,Mix Atividades,mix_atividades,NUMERIC,S,mix_atividades,PRONTO,MEDIA,SAFE_CAST(src.`mix_atividades` AS NUMERIC),SAFE_CAST(src.`mix_atividades` AS NUMERIC) AS `mix_atividades`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
