item,campo_origem,campo_sql,tipo_dado,caracteristica_dado,descricao_funcional,calculo_sheets_as_is,calculo_bq_to_be_original,calculo_bq_final,tipo_calculo_bq,bq_alias_origem,bq_coluna_resultado,compliance_sn,datalake_xertica_sn,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,risco,observacoes_negocio,dataset_referencia,tabela_referencia,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,prompt_open_literal_completo,prompt_closed_literal_completo,regras_ouro_open_literal,json_schema_open_literal,json_schema_closed_literal,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
75,Portafolio XAI Opp F,agrupacion_f_portafolio,STRING,Calculado,Asignación léxica de orden interno derivante del número de catálogo del Portafolio XAI; asocia nomenclatura semántica en familias (como PORTAFOLIO 1.0).,Asignación dependiente a llaves numéricas,Relación tabular CASE WHEN id_jerarquia_portafolio = 1 THEN 'PORTAFOLIO 1.0' END,Relación tabular CASE WHEN id_jerarquia_portafolio = 1 THEN 'PORTAFOLIO 1.0' END,CALCULATED,src,agrupacion_f_portafolio,N,,N,Fact oportunidad > portafolio,NAO_IMPLEMENTAR,MEDIA,,Redundancia: debe omitirse,operaciones-br.sales_intelligence,pipeline,Relación tabular CASE WHEN id_jerarquia_portafolio = 1 THEN 'PORTAFOLIO 1.0' END AS `agrupacion_f_portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
76,Oportunidades Vencidas,estado_vencimiento_oportunidad,STRING,Calculado,Termómetro operativo que denuncia el deterioro procedimental y vigencia temporal al constatar si un proyecto sigue vivo a posteriori de su cota o cierre predeterminado.,Expresión comprobatoria sobre vigencias al día,"Inferencia de estado: CASE WHEN fecha_cierre < CURRENT_DATE() AND etapa NOT IN ('Cierre', 'Perdida') THEN 'Vencida' ELSE 'Ok' END","Inferencia de estado: CASE WHEN fecha_cierre < CURRENT_DATE() AND etapa NOT IN ('Cierre', 'Perdida') THEN 'Vencida' ELSE 'Ok' END",CALCULATED,src,estado_vencimiento_oportunidad,N,N,N,No existe,NAO_IMPLEMENTAR,MEDIA,Medio,Campo redundante. No incluir en el modelo,operaciones-br.sales_intelligence,pipeline,"Inferencia de estado: CASE WHEN fecha_cierre < CURRENT_DATE() AND etapa NOT IN ('Cierre', 'Perdida') THEN 'Vencida' ELSE 'Ok' END AS `estado_vencimiento_oportunidad`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
77,Mes Factura,mes_documento_facturacion,INT64,Calculado,"Extrae fraccionalmente el mes a partir del cronograma oficial del devengado y facturación comercial, favoreciendo los esquemas de proyecciones analíticas.",Componente temporal aislado,Ejecución extrayente del mes EXTRACT(MONTH FROM fecha_facturacion),Ejecución extrayente del mes EXTRACT(MONTH FROM fecha_facturacion),CALCULATED,src,mes_documento_facturacion,N,N,N,No existe,PENDENTE,MEDIA,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",operaciones-br.sales_intelligence,pipeline,Ejecución extrayente del mes EXTRACT(MONTH FROM fecha_facturacion) AS `mes_documento_facturacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
78,Año Factura,ano_documento_facturacion,INT64,Calculado,Recuperación precisa y modular de la anualidad estipulada referencial a los compromisos del inicio del ciclo de tributación.,Segmentación numeral,Operador temporal derivante EXTRACT(YEAR FROM fecha_facturacion),Operador temporal derivante EXTRACT(YEAR FROM fecha_facturacion),CALCULATED,src,ano_documento_facturacion,N,N,N,No existe,PENDENTE,MEDIA,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",operaciones-br.sales_intelligence,pipeline,Operador temporal derivante EXTRACT(YEAR FROM fecha_facturacion) AS `ano_documento_facturacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
79,Tipo Facturación,recurrencia_facturacion,STRING,Calculado,"Abstracción que provee legibilidad al truncar los caracteres extendidos del campo de cronogramas y mostrar únicamente el tipo de cobro aplicable al cliente (ej. la parte ""Anual"").",Limitadores de formato de texto plano sobre posiciones de string,"Fragmentación mediante funciones constructivas como SPLIT(frecuencia_facturacion, ' ')","Fragmentación mediante funciones constructivas como SPLIT(frecuencia_facturacion, ' ')",CALCULATED,src,recurrencia_facturacion,N,N,N,No existe,PENDENTE,MEDIA,,"Se debería calcular a partir de Calendario Facturación, que debe extraerse desde SF ( La lógica de los IFs se encuentra en el master inputs)",operaciones-br.sales_intelligence,pipeline,"Fragmentación mediante funciones constructivas como SPLIT(frecuencia_facturacion, ' ') AS `recurrencia_facturacion`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
80,Error Vencimiento,flag_error_vencimiento,INT64,Calculado,"Monitor booleano algorítmico, integrante del motor de detección de calidad de datos, que castiga reportando el número binario '1' en oportunidades que arrastran fechas obsoletas.",Identificador aritmético sujeto al estado evaluado de la condición cronológica,Cuantificación binaria de desviaciones de la oportunidad frente a estado_vencimiento_oportunidad,"CASE WHEN SAFE_CAST(src.`fecha_cierre` AS DATE) < CURRENT_DATE() AND UPPER(CAST(src.`etapa` AS STRING)) NOT IN ('CIERRE','CLOSED','PERDIDA','DESCALIFICADA') THEN 1 ELSE 0 END",CALCULATED,src,flag_error_vencimiento,N,N,N,No existe,PENDENTE,MEDIA,,Campo calculado [1/0] si la oportunidad está vencida o no segun fecha de cierre,operaciones-br.sales_intelligence,pipeline,"CASE WHEN SAFE_CAST(src.`fecha_cierre` AS DATE) < CURRENT_DATE() AND UPPER(CAST(src.`etapa` AS STRING)) NOT IN ('CIERRE','CLOSED','PERDIDA','DESCALIFICADA') THEN 1 ELSE 0 END AS `flag_error_vencimiento`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
81,Error Portafolio/ Producto,flag_error_portafolio,INT64,Calculado,"Sistema de alerta binaria orientada a rastrear colisiones, discordancias lógicas y registros vacíos donde un ítem carece de asociación unívoca o correcta a un portafolio de ventas.",Estructura condicional múltiple evaluativa,CASE WHEN id_jerarquia_portafolio IS NULL THEN 1 ELSE 0 END,CASE WHEN id_jerarquia_portafolio IS NULL THEN 1 ELSE 0 END,CALCULATED,src,flag_error_portafolio,N,N,N,No existe,PENDENTE,MEDIA,,Campo calculado [1/0] si la oportunidad contiene o no Portafolio de Prod,operaciones-br.sales_intelligence,pipeline,CASE WHEN id_jerarquia_portafolio IS NULL THEN 1 ELSE 0 END AS `flag_error_portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
82,Error Proceso,flag_error_proceso,INT64,Calculado,"Semáforo binario para mitigar asimetrías conceptuales generadas por el componente humano; detecta incongruencias analíticas cuando una ""Renovación"" es marcada como ""Nuevo"", por ejemplo.",Validación relacional de campos de texto,Declaraciones lógicas del estilo CASE WHEN tipo_oportunidad = 'Renovación' AND proceso = 'Nueva' THEN 1 ELSE 0 END,Declaraciones lógicas del estilo CASE WHEN tipo_oportunidad = 'Renovación' AND proceso = 'Nueva' THEN 1 ELSE 0 END,CALCULATED,src,flag_error_proceso,N,N,N,No existe,PENDENTE,MEDIA,,Campo calculado [1/0] si la oportunidad contiene o no valor en Proceso,operaciones-br.sales_intelligence,pipeline,Declaraciones lógicas del estilo CASE WHEN tipo_oportunidad = 'Renovación' AND proceso = 'Nueva' THEN 1 ELSE 0 END AS `flag_error_proceso`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
83,Error Monto,flag_error_monto,INT64,Calculado,Función detectora analítica que protege la integridad económica cruzando las validaciones monetarias entre el importe basal reportado y el importe resultante del total transaccional convertido.,Cálculos aritméticos comparativos de desigualdad,Instrucción que sanciona cuando se percibe una asimetría cuantitativa CASE WHEN importe_convertido!= precio_total_convertido THEN 1 ELSE 0 END,Instrucción que sanciona cuando se percibe una asimetría cuantitativa CASE WHEN importe_convertido!= precio_total_convertido THEN 1 ELSE 0 END,CALCULATED,src,flag_error_monto,N,N,N,No existe,PENDENTE,MEDIA,,Campo calculado [1/0] si la oportunidad contiene Precio Total < 5,operaciones-br.sales_intelligence,pipeline,Instrucción que sanciona cuando se percibe una asimetría cuantitativa CASE WHEN importe_convertido!= precio_total_convertido THEN 1 ELSE 0 END AS `flag_error_monto`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
84,Error Calendario o Fecha de Facturación,flag_error_calendario,INT64,Calculado,Parámetro binario orientado a sancionar negligencias de seguimiento cuando una oportunidad madura y clasificada ya para el pronóstico carece de estipulaciones o proyecciones cronológicas vitales en sus campos de factura.,Revisión paramétrica por valores inexistentes condicionales,CASE WHEN fecha_facturacion IS NULL AND categoria_forecast = 'Commit' THEN 1 ELSE 0 END,CASE WHEN fecha_facturacion IS NULL AND categoria_forecast = 'Commit' THEN 1 ELSE 0 END,CALCULATED,src,flag_error_calendario,N,N,N,No existe,PARCIAL,MEDIA,,"Campo calculado [1/0] : Si Calendario Facturación o Fecha de facturación es vacío --> 1, si y solo si la Etapa de oportunidad <> {Calificar,  Evaluación, Propuesta}",operaciones-br.sales_intelligence,pipeline,CASE WHEN fecha_facturacion IS NULL AND categoria_forecast = 'Commit' THEN 1 ELSE 0 END AS `flag_error_calendario`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
85,Error Segmento,flag_error_segmento,INT64,Calculado,Medidor binario que castiga carencias sistemáticas y lagunas conceptuales impidiendo que la oportunidad permanezca sin asociación consolidada frente al macro mercado corporativo objetivo.,Lógica controladora de celdas ausentes,Detección afirmativa mediante un IS NULL contra la variable de consolidación de mercado,"CASE WHEN NULLIF(TRIM(CAST(src.`segmento_consolidado` AS STRING)), '') IS NULL THEN 1 ELSE 0 END",CALCULATED,src,flag_error_segmento,N,N,N,No existe,PENDENTE,MEDIA,,Campo calculado [1/0] si Segmento consolidado es vacío,operaciones-br.sales_intelligence,pipeline,"CASE WHEN NULLIF(TRIM(CAST(src.`segmento_consolidado` AS STRING)), '') IS NULL THEN 1 ELSE 0 END AS `flag_error_segmento`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
86,Error Opps Multiaño,flag_error_multiano,INT64,Calculado,Analizador binario garante de cohesión cronológica. Genera infracción técnica sobre el pipeline al determinar una disparidad entre oportunidades concebidas transaccionalmente como múltiples años pero limitadas en cobertura inferior al umbral mensual admisible de 12.,Comprobación de factores dimensionales por dualidad,Relación discriminante algorítmica: CASE WHEN tipo_oportunidad = 'Multiaño' AND plazo_producto_meses <= 12 THEN 1 ELSE 0 END,Relación discriminante algorítmica: CASE WHEN tipo_oportunidad = 'Multiaño' AND plazo_producto_meses <= 12 THEN 1 ELSE 0 END,CALCULATED,src,flag_error_multiano,N,N,N,No existe,PENDENTE,MEDIA,,Campo calculado [1/0] si Plazos Meses Producto > 12,operaciones-br.sales_intelligence,pipeline,Relación discriminante algorítmica: CASE WHEN tipo_oportunidad = 'Multiaño' AND plazo_producto_meses <= 12 THEN 1 ELSE 0 END AS `flag_error_multiano`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
87,Qty Errores,conteo_total_errores,INT64,Calculado,"Tabulador aditivo principal para gobernar el saneamiento analítico de registros. Totaliza el impacto cuantitativo unificando linealmente las diferentes instancias infractoras, logrando centralizar una nota punitiva aplicable por oportunidad transaccional.",Expresiones de adición matemática combinatoria =SUM(),Sumatoria aditiva aritmética total de la familia de variables booleanas/bandera (del ítem 80 al 86 + 95).,"COALESCE(SAFE_CAST(src.`flag_error_vencimiento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_portafolio` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_proceso` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_monto` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_calendario` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_segmento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_multiano` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_fecha_facturación_2.0` AS INT64),0)",CALCULATED,src,conteo_total_errores,N,N,N,No existe,PENDENTE,MEDIA,,Sumatoria de los campos boolean de Error,operaciones-br.sales_intelligence,pipeline,"COALESCE(SAFE_CAST(src.`flag_error_vencimiento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_portafolio` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_proceso` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_monto` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_calendario` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_segmento` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_multiano` AS INT64),0)+COALESCE(SAFE_CAST(src.`flag_error_fecha_facturación_2.0` AS INT64),0) AS `conteo_total_errores`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
88,Error Resumen,resumen_narrativo_errores,STRING,Calculado,Generador concatenado de reportes analíticos interpretables para consumo humano; construye secuencias literarias articuladas enlistando alfanuméricamente todo factor problemático asociado para optimizar la toma de decisiones por intervención manual en saneamiento de datos.,Operadores que unen variables lógicas a descripciones de cadenas (TEXTJOIN()),"Concatenación lógica condicionada de subcadenas descriptivas, por ejemplo CONCAT(IF(flag_error_vencimiento=1, 'Error Vencimiento, ', ''),... )","Concatenación lógica condicionada de subcadenas descriptivas, por ejemplo CONCAT(IF(flag_error_vencimiento=1, 'Error Vencimiento, ', ''),... )",CALCULATED,src,resumen_narrativo_errores,N,N,N,No existe,PENDENTE,MEDIA,,"Concatenación de errores según la función : LAMBDA(fila,
      TEXTJOIN("", "", VERDADERO, SI(fila=1, CB$1:CH$1, """"))
    )",operaciones-br.sales_intelligence,pipeline,"Concatenación lógica condicionada de subcadenas descriptivas, por ejemplo CONCAT(IF(flag_error_vencimiento=1, 'Error Vencimiento, ', ''),... ) AS `resumen_narrativo_errores`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
89,Riesgo Actividad,indice_riesgo_actividad,INT64,Calculado,"Ponderador numeral analítico enfocado a sintetizar mediante factor matemático complejo la correlación preexistente entre vulnerabilidades cronológicas por inmovilización transaccional, frente al avance probabilístico reportado.",Operaciones con ponderaciones lógicas múltiples,Ejecución paramétrica dependiente del cruce factorial empírico de avance comercial y temporalidades analíticas asociadas.,"CASE WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 60 OR DATE_DIFF(SAFE_CAST(src.`fecha_cierre` AS DATE), CURRENT_DATE(), DAY) < 0 THEN 4 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 30 THEN 3 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 15 THEN 2 ELSE 1 END",CALCULATED,src,indice_riesgo_actividad,N,N,N,No existe,PENDENTE,MEDIA,,"Campo calculado que determina el nivel de riesgo según los dos factores incluidos en la matriz de riesgo (master inputs): Fecha de cierre y Fecha Ultima modificación 
DOMINIO (1, 2, 3 ,4)",operaciones-br.sales_intelligence,pipeline,"CASE WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 60 OR DATE_DIFF(SAFE_CAST(src.`fecha_cierre` AS DATE), CURRENT_DATE(), DAY) < 0 THEN 4 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 30 THEN 3 WHEN DATE_DIFF(CURRENT_DATE(), SAFE_CAST(src.`fecha_ultima_modificacion` AS DATE), DAY) > 15 THEN 2 ELSE 1 END AS `indice_riesgo_actividad`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
90,Status Riesgo,estado_clasificacion_riesgo,STRING,Calculado,"Traductor semafórico categorizado a escala verbalizada (Crítico, Riesgo Alto, Riesgo Medio, Saludable). Posiciona estratégicamente a la oportunidad al escrutar integralmente y en dependencia condicional la severidad estipulada en los indicadores previos de saneamiento y cuantificadores de errores acumulativos.",Función generadora en base a escalafón jerárquico anidado (IFS),"Ejecutor CASE sobre base discriminatoria de volúmenes de desviación, p.ej. CASE WHEN conteo_total_errores > 0 THEN 'Crítico' ELSE 'Saludable' END","Ejecutor CASE sobre base discriminatoria de volúmenes de desviación, p.ej. CASE WHEN conteo_total_errores > 0 THEN 'Crítico' ELSE 'Saludable' END",CALCULATED,src,estado_clasificacion_riesgo,N,N,N,No existe,PENDENTE,MEDIA,,"Campo calculado que determina el nivel de riesgo según los dos factores incluidos en la matriz de riesgo (master inputs): Fecha de cierre y Fecha Ultima modificación
DOMINIO {Saludable, Riesgo Medio, Riesgo Alto, Crítico)",operaciones-br.sales_intelligence,pipeline,"Ejecutor CASE sobre base discriminatoria de volúmenes de desviación, p.ej. CASE WHEN conteo_total_errores > 0 THEN 'Crítico' ELSE 'Saludable' END AS `estado_clasificacion_riesgo`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
91,Open Time (Month),tiempo_apertura_meses,INT64,Calculado,"Abstracción numeral dimensionada orientada a exponer pragmáticamente una noción escalar prolongada relativa a los plazos pasivos en que han incurrido las negociaciones no concluidas, a través de agrupaciones redondeadas aritméticamente hacia periodos mensuales desde la concepción del evento histórico original hasta el cierre transaccional o el tiempo presente al corte de la evaluación de datos.",Divisores que truncan periodos fraccionados,Transformador analítico estandarizante: CAST(ROUND(antiguedad_dias / 30.0) AS INT64),Transformador analítico estandarizante: CAST(ROUND(antiguedad_dias / 30.0) AS INT64),CALCULATED,src,tiempo_apertura_meses,S,N,N,,PENDENTE,MEDIA,,Campo debe medir cantidad de tiempo en meeses que lleva abierta la opp - Considerar campo Antiguedad (extraido directamente de DF) / 30,operaciones-br.sales_intelligence,pipeline,Transformador analítico estandarizante: CAST(ROUND(antiguedad_dias / 30.0) AS INT64) AS `tiempo_apertura_meses`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
92,Industry GTM,industria_go_to_market,STRING,Calculado,"Conversor categórico y organizador temático maestro que acopla múltiples industrias crudas nativas provenientes de Salesforce bajo ejes programáticos estandarizados y focalizados, sirviendo de base transversal generalizadora (Go-to-Market Strategy) requerida por alta gerencia para focalizar lineamientos.",Búsqueda cruzada de correlación entre dos diccionarios taxonómicos relacionales,"Integración basada en directrices condicionales textuales para unificar industrias; CASE WHEN industria_primaria IN ('Bancos, financieras', 'Servicios Financieros') THEN 'Finanzas'... END","Integración basada en directrices condicionales textuales para unificar industrias; CASE WHEN industria_primaria IN ('Bancos, financieras', 'Servicios Financieros') THEN 'Finanzas'... END",CALCULATED,src,industria_go_to_market,N,N,N,No existe,PENDENTE,MEDIA,,"Pendiente validar regla de negocio, se compartirá la matriz",operaciones-br.sales_intelligence,pipeline,"Integración basada en directrices condicionales textuales para unificar industrias; CASE WHEN industria_primaria IN ('Bancos, financieras', 'Servicios Financieros') THEN 'Finanzas'... END AS `industria_go_to_market`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
93,Sem Cierre,semana_fecha_cierre,DATE,Calculado,"Vector homogeneizador paramétrico del horizonte analítico cronológico el cual alinea estricta y rígidamente todo día natural de consumación contractual hacia el marco del lunes adyacente precedente, otorgando una granularidad estadística estable orientada en semanas laborales estandarizadas para comparaciones.",Manipulación por adición/sustracción fraccionada vinculada al calendario indexado originario,"Comando estándar de delimitación de fechas ISO: DATE_TRUNC(fecha_cierre, ISOWEEK)","Comando estándar de delimitación de fechas ISO: DATE_TRUNC(fecha_cierre, ISOWEEK)",CALCULATED,src,semana_fecha_cierre,N,N,N,No existe,PARCIAL,MEDIA,,"Campo calculado a partir de la fecha de cierre. El campo agrupa las oportunidades por su semana de cierre, etiquetando el periodo con la fecha de inicio de la semana siguiente.",operaciones-br.sales_intelligence,pipeline,"Comando estándar de delimitación de fechas ISO: DATE_TRUNC(fecha_cierre, ISOWEEK) AS `semana_fecha_cierre`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
94,Incremental,,BOOLEAN,Calculado,"Tag para identificar oportunidades [0/1] correspondientes a negocios incrementales, es decir, negogcios que no provienen del backlog, renovaciones o consumo orgánico","If <> ""GWS..."" THEN","CASE WHEN <> ""GWS..."" THEN","CASE WHEN <> ""GWS..."" THEN",CALCULATED,src,campo_item_94,N,N,N,No existe,PENDENTE,MEDIA,,"Campo calculado segun el general budget : Tag para identificar oportunidades [0/1] correspondientes a negocios incrementales, es decir, negogcios que no provienen del backlog (GWS Backlog), renovaciones (GWS Renewal) o consumo orgánico (GCP Organic)",operaciones-br.sales_intelligence,pipeline,"CASE WHEN <> ""GWS..."" THEN AS `campo_item_94`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
95,Error Fecha de Facturaicón 2.0,flag_error_fecha_facturación_2.0,BOOLEAN,Calculado,"Campo booleano (0/1) que castiga las oportunidades cuya fecha de facturación < fecha de cierre, para las oportunidades en etapas posteriores a Propuesta",,"CASE WHEN fecha de facturacion < fecha de cierre
 WHEN Etapa <> {Calificar, Evaluación, Propuesta} 
THEN 1","CASE WHEN fecha de facturacion < fecha de cierre
 WHEN Etapa <> {Calificar, Evaluación, Propuesta} 
THEN 1",CALCULATED,src,flag_error_fecha_facturación_2.0,N,N,N,No existe,PENDENTE,MEDIA,,"Campo calculado [1/0] : Si Fecha de facturación es menor a la fecha de ceirre --> 1, si y solo si la Etapa de oportunidad <> {Calificar,  Evaluación, Propuesta}",operaciones-br.sales_intelligence,pipeline,"CASE WHEN fecha de facturacion < fecha de cierre
 WHEN Etapa <> {Calificar, Evaluación, Propuesta} 
THEN 1 AS `flag_error_fecha_facturación_2.0`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
96,Run ID,run_id,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`run_id` AS STRING),DIRECT,src,run_id,N,N,S,run_id,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`run_id` AS STRING) AS `run_id`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
97,Oportunidade,oportunidade,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`oportunidade` AS STRING),DIRECT,src,oportunidade,N,N,S,oportunidade,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`oportunidade` AS STRING) AS `oportunidade`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
98,Conta,conta,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`conta` AS STRING),DIRECT,src,conta,N,N,S,conta,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`conta` AS STRING) AS `conta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
99,Perfil,perfil,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`perfil` AS STRING),DIRECT,src,perfil,N,N,S,perfil,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`perfil` AS STRING) AS `perfil`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
100,Produtos,produtos,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`produtos` AS STRING),DIRECT,src,produtos,N,N,S,produtos,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`produtos` AS STRING) AS `produtos`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
101,Vendedor,vendedor,STRING,Derivado App IA,Campo gerado na camada de análise IA/forecast do App Sales Brasil.,Gerado pelo motor de análise (Apps Script).,Derivado do output de análise IA (normalizado no BQ).,CAST(src.`vendedor` AS STRING),DIRECT,src,vendedor,N,N,S,vendedor,PRONTO,MEDIA,Medio,Campo adicional mapeado do app (IA/forecast/análise).,operaciones-br.sales_intelligence,pipeline,CAST(src.`vendedor` AS STRING) AS `vendedor`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
